ADMM_START rows=743 columns=12248 nnz=5605870 rounds=5 max_iterations=2000 rho=100000000.0
ADMM_ITER round=0/4 iteration=1/2000 objective=9.1460324642530881e-07 r=4.13111e-07/1.10671e-08 s=7.35689/4.24178e-07 projection_inf=7.17186e-19 support=287/12248
ADMM_ITER round=0/4 iteration=25/2000 objective=1.9687917152260743e-05 r=1.70203e-08/1.10671e-08 s=2.25023/6.16684e-07 projection_inf=6.50915e-19 support=1415/12248
ADMM_ITER round=0/4 iteration=50/2000 objective=1.9349373632096837e-05 r=8.57002e-09/1.10671e-08 s=1.09295/6.06285e-07 projection_inf=6.77704e-19 support=1232/12248
ADMM_ITER round=0/4 iteration=75/2000 objective=1.9255488107744145e-05 r=5.36247e-09/1.10671e-08 s=0.693164/6.02899e-07 projection_inf=6.73626e-19 support=1229/12248
ADMM_ITER round=0/4 iteration=100/2000 objective=1.9235223885749222e-05 r=3.94695e-09/1.10671e-08 s=0.479458/6.03504e-07 projection_inf=6.29238e-19 support=1182/12248
ADMM_ITER round=0/4 iteration=125/2000 objective=1.9218106086422753e-05 r=2.91436e-09/1.10671e-08 s=0.358705/6.03615e-07 projection_inf=7.70531e-19 support=1148/12248
ADMM_ITER round=0/4 iteration=150/2000 objective=1.9210616613743556e-05 r=2.31652e-09/1.10671e-08 s=0.271992/6.01014e-07 projection_inf=6.33237e-19 support=1149/12248
ADMM_ITER round=0/4 iteration=175/2000 objective=1.920310310743584e-05 r=2.00501e-09/1.10671e-08 s=0.221416/6.02359e-07 projection_inf=6.96084e-19 support=1145/12248
ADMM_ITER round=0/4 iteration=200/2000 objective=1.9206221249645807e-05 r=1.54531e-09/1.10671e-08 s=0.196882/6.03135e-07 projection_inf=7.3947e-19 support=1161/12248
ADMM_ITER round=0/4 iteration=225/2000 objective=1.9204630664995441e-05 r=1.35954e-09/1.10671e-08 s=0.16194/6.03025e-07 projection_inf=6.97036e-19 support=1159/12248
ADMM_ITER round=0/4 iteration=250/2000 objective=1.9204534607733958e-05 r=1.2406e-09/1.10671e-08 s=0.136856/6.01915e-07 projection_inf=7.08478e-19 support=1156/12248
ADMM_ITER round=0/4 iteration=275/2000 objective=1.9200035118521571e-05 r=1.06756e-09/1.10671e-08 s=0.119264/6.01655e-07 projection_inf=6.6859e-19 support=1157/12248
ADMM_ITER round=0/4 iteration=300/2000 objective=1.9199636139438279e-05 r=9.33543e-10/1.10671e-08 s=0.1031/6.01619e-07 projection_inf=6.26019e-19 support=1150/12248
ADMM_ITER round=0/4 iteration=325/2000 objective=1.9197802514133522e-05 r=8.38557e-10/1.10671e-08 s=0.0919941/6.02052e-07 projection_inf=6.58064e-19 support=1123/12248
