Running HiGHS 1.15.1 (git hash: 04024d7): Copyright (c) 2026 under MIT licence terms
Includes third-party software components, see THIRD_PARTY_NOTICES.md for full details
LP has 1024 rows; 150152 cols; 152221978 nonzeros
Coefficient ranges:
  Matrix  [1e-07, 5e+01]
  Cost    [1e+00, 1e+00]
  Bound   [0e+00, 0e+00]
  RHS     [1e-06, 1e-06]
WARNING: Problem has some excessively small row bounds
WARNING:    Consider scaling the    bounds by 1e+3, or setting the user_bound_scale option to 7
Solving LP with useful basis
Using primal simplex solver
  Iteration        Objective     Infeasibilities num(sum)
          0     0.0000000000e+00 Pr: 0(0) 7.1s
        165     9.6156281125e-08 Pr: 948(0.000214992) 13.0s
        269     3.1058941803e-07 Pr: 908(0.000199032) 19.1s
        442     5.3636584555e-07 Pr: 851(0.000141719) 30.8s
        666     8.3561435785e-07 Pr: 757(8.32183e-05) 50.7s
        815     1.0392769965e-06 Pr: 711(8.39126e-05) 70.2s
        903     1.1450738027e-06 Pr: 706(7.55558e-05) 84.3s
       1013     1.2941993987e-06 Pr: 661(0.000169585) 102.4s
       1100     1.3647045945e-06 Pr: 656(6.76002e-05) 117.0s
       1232     1.5038480221e-06 Pr: 610(0.000179977) 141.7s
       1348     1.5910281670e-06 Pr: 617(4.57938e-05) 168.4s
       1448     1.6682861994e-06 Pr: 579(5.25226e-05) 192.0s
       1508     1.7018439871e-06 Pr: 585(0.000102721) 207.1s
       1613     1.7727957436e-06 Pr: 556(3.67624e-05) 230.8s
       1689     1.8226123542e-06 Pr: 560(5.31934e-05) 246.7s
       1783     1.8780914463e-06 Pr: 547(0.000104263) 269.2s
       1845     1.9215200138e-06 Pr: 545(9.36322e-05) 285.0s
       1909     1.9467430872e-06 Pr: 545(1.46666e-05) 302.1s
       1999     1.9984144762e-06 Pr: 535(4.71363e-05) 323.8s
       2101     2.0445290801e-06 Pr: 509(9.46126e-06) 349.5s
       2186     2.0800007891e-06 Pr: 522(1.80841e-05) 371.0s
       2267     2.1267249473e-06 Pr: 531(3.08096e-05) 392.0s
       2343     2.1703842702e-06 Pr: 535(7.43315e-06) 412.3s
       2409     2.2111919616e-06 Pr: 527(2.82607e-05) 429.9s
       2491     2.2466613969e-06 Pr: 521(7.36132e-06) 449.4s
       2567     2.2780507414e-06 Pr: 518(2.8418e-05) 466.2s
       2639     2.3096100998e-06 Pr: 516(0.000169678) 485.0s
       2718     2.3477438269e-06 Pr: 500(3.10483e-06) 505.2s
       2811     2.3869916144e-06 Pr: 510(2.4125e-06) 528.4s
       2862     2.4072818780e-06 Pr: 521(1.35149e-05) 543.0s
