Running HiGHS 1.15.1 (git hash: 04024d7): Copyright (c) 2026 under MIT licence terms
Includes third-party software components, see THIRD_PARTY_NOTICES.md for full details
LP has 1024 rows; 150152 cols; 152221978 nonzeros
Coefficient ranges:
  Matrix  [1e-07, 5e+07]
  Cost    [1e+00, 1e+00]
  Bound   [0e+00, 0e+00]
  RHS     [1e+00, 1e+00]
Solving LP with useful basis
Using primal simplex solver
  Iteration        Objective     Infeasibilities num(sum)
          0     0.0000000000e+00 Pr: 0(0) 5.2s
        269     3.1058941803e-07 Pr: 908(0.203808) 15.6s
        442     5.3636584555e-07 Pr: 854(0.145121) 28.2s
        666     8.3561435785e-07 Pr: 762(0.0852158) 50.8s
        815     1.0392769965e-06 Pr: 712(0.0859265) 69.5s
        903     1.1450738027e-06 Pr: 709(0.0773693) 82.1s
       1013     1.2941993987e-06 Pr: 663(0.173655) 98.6s
       1100     1.3647045945e-06 Pr: 660(0.0692228) 114.9s
       1232     1.5038480221e-06 Pr: 611(0.184297) 139.7s
       1348     1.5910281670e-06 Pr: 621(0.0468929) 166.9s
       1448     1.6682861994e-06 Pr: 584(0.0537835) 190.5s
       1508     1.7018439871e-06 Pr: 587(0.105186) 203.2s
       1613     1.7727957436e-06 Pr: 558(0.0376448) 227.8s
       1689     1.8226123542e-06 Pr: 561(0.0544701) 246.5s
       1783     1.8780914463e-06 Pr: 549(0.106766) 267.4s
       1845     1.9215200138e-06 Pr: 546(0.0958794) 283.0s
       1909     1.9467430872e-06 Pr: 551(0.0150189) 299.2s
       1999     1.9984144762e-06 Pr: 535(0.0482676) 322.9s
       2101     2.0445290801e-06 Pr: 512(0.0096885) 348.6s
       2186     2.0800007891e-06 Pr: 526(0.0185183) 370.3s
       2267     2.1267249473e-06 Pr: 532(0.0315491) 390.6s
       2343     2.1703842702e-06 Pr: 537(0.00761171) 407.9s
       2409     2.2111919616e-06 Pr: 530(0.0289391) 423.1s
       2491     2.2466613969e-06 Pr: 522(0.00753807) 443.7s
       2567     2.2780507414e-06 Pr: 518(0.0291) 465.7s
       2639     2.3096100998e-06 Pr: 516(0.173751) 484.6s
       2718     2.3477438269e-06 Pr: 512(0.00318008) 506.5s
       2811     2.3869916144e-06 Pr: 524(0.00247117) 531.4s
       2862     2.4072818780e-06 Pr: 523(0.0138393) 545.8s
       2940     2.4393300535e-06 Pr: 518(0.00289087) 565.7s
       2998     2.4706548451e-06 Pr: 511(0.0107546) 581.9s
       3057     2.4989018448e-06 Pr: 509(0.00295878) 597.4s
       3121     2.5263176842e-06 Pr: 518(0.00648935) 612.1s
       3194     2.5493659447e-06 Pr: 525(0.00379784) 629.3s
       3270     2.5786959555e-06 Pr: 534(0.0109029) 649.5s
       3346     2.6012194238e-06 Pr: 527(0.00904483) 669.4s
       3418     2.6269929779e-06 Pr: 527(0.0084527) 689.8s
       3466     2.6419337570e-06 Pr: 514(0.108327) 704.0s
       3508     2.6545982220e-06 Pr: 508(0.00796674) 716.8s
       3589     2.6809203169e-06 Pr: 515(0.00899304) 738.5s
       3651     2.6984891458e-06 Pr: 505(0.00185116) 755.5s
       3728     2.7205934491e-06 Pr: 516(0.00220378) 776.5s
       3812     2.7441917425e-06 Pr: 520(0.0320607) 798.1s
       3870     2.7567759298e-06 Pr: 516(0.00522765) 813.4s
       3942     2.7741673037e-06 Pr: 522(0.0351153) 830.6s
       3999     2.7868972783e-06 Pr: 516(0.00510407) 843.6s
       4069     2.8103687716e-06 Pr: 503(0.00283298) 862.3s
       4129     2.8291821272e-06 Pr: 508(0.00761337) 878.9s
       4209     2.8468370855e-06 Pr: 515(0.0258876) 900.2s
       4274     2.8663910743e-06 Pr: 520(0.00376645) 917.6s
       4350     2.8916894958e-06 Pr: 504(0.0124594) 937.8s
       4443     2.9235673029e-06 Pr: 502(0.010438) 960.4s
       4486     2.9359566127e-06 Pr: 498(0.0120237) 972.9s
       4535     2.9461066752e-06 Pr: 518(0.00427492) 986.8s
       4595     2.9616069199e-06 Pr: 500(0.00462349) 1002.5s
       4839     3.0140120535e-06 Pr: 513(0.0056928) 1063.5s
       5095     3.0833847828e-06 Pr: 502(0.0112768) 1131.1s
       5306     3.1383999430e-06 Pr: 505(0.00338962) 1185.9s
       5527     3.2024225618e-06 Pr: 523(0.00362814) 1240.2s
       5756     3.2531455695e-06 Pr: 514(0.00129918) 1298.4s
       5973     3.3084707577e-06 Pr: 513(0.00387818) 1355.5s
       6224     3.3819888621e-06 Pr: 506(0.00222943) 1417.4s
       6469     3.4319778722e-06 Pr: 519(0.00524644) 1478.3s
       6680     3.4763228879e-06 Pr: 502(0.00499127) 1530.2s
       6923     3.5401027203e-06 Pr: 498(0.0184073) 1589.3s
       7200     3.5991784099e-06 Pr: 507(0.00317981) 1658.9s
       7412     3.6414210198e-06 Pr: 514(0.00975155) 1710.4s
       7619     3.6925906209e-06 Pr: 503(0.00300084) 1767.6s
       7856     3.7392067723e-06 Pr: 507(0.026962) 1828.8s
       8086     3.7794183674e-06 Pr: 499(0.00129036) 1895.3s
       8303     3.8164999932e-06 Pr: 503(0.0119794); Du: 0(5.46577e-14) 1947.4s
       8489     3.8469881705e-06 Pr: 510(0.0169148); Du: 0(1.67326e-10) 2006.4s
       8711     3.8862820372e-06 Pr: 496(0.00379894) 2062.7s
       8857     3.9113298868e-06 Pr: 507(0.00238655) 2137.6s
       9013     3.9376824313e-06 Pr: 507(0.00174254) 2198.0s
       9220     3.9688078046e-06 Pr: 491(0.00120096) 2261.1s
       9357     3.9892601336e-06 Pr: 538(0.0314683) 2319.8s
       9427     3.9989926257e-06 Pr: 507(0.00340945) 2381.8s
       9507     4.0092121597e-06 Pr: 489(0.00245736) 2501.9s
       9648     4.0309551264e-06 Pr: 480(0.000623162) 2605.7s
       9784     4.0523709464e-06 Pr: 520(0.00589595) 2670.3s
       9955     4.0780161816e-06 Pr: 505(0.00475937) 2732.8s
      10241     4.1201779544e-06 Pr: 508(0.0175773) 2796.2s
      10499     4.1508862135e-06 Pr: 502(0.00137276) 2855.4s
