BIG_DIXON_LU_DONE seconds=319.180663 rows=21222 columns=21222
BIG_DIXON_STEP iteration=1/20000 solve_seconds=0.681488 matvec_seconds=0.557655
BIG_DIXON_STEP iteration=2/20000 solve_seconds=0.143055 matvec_seconds=0.215230
BIG_DIXON_STEP iteration=3/20000 solve_seconds=0.143239 matvec_seconds=0.226886
BIG_DIXON_STEP iteration=4/20000 solve_seconds=0.142768 matvec_seconds=0.255624
BIG_DIXON_STEP iteration=5/20000 solve_seconds=0.142617 matvec_seconds=0.220590
BIG_DIXON_STEP iteration=6/20000 solve_seconds=0.142118 matvec_seconds=0.246346
BIG_DIXON_STEP iteration=7/20000 solve_seconds=0.145628 matvec_seconds=0.255311
BIG_DIXON_STEP iteration=8/20000 solve_seconds=0.143728 matvec_seconds=0.238292
BIG_DIXON_STEP iteration=9/20000 solve_seconds=0.150282 matvec_seconds=0.270278
BIG_DIXON_STEP iteration=10/20000 solve_seconds=0.146021 matvec_seconds=0.459986
BIG_DIXON_STEP iteration=11/20000 solve_seconds=0.150390 matvec_seconds=0.282953
BIG_DIXON_STEP iteration=12/20000 solve_seconds=0.146788 matvec_seconds=0.289714
BIG_DIXON_STEP iteration=13/20000 solve_seconds=0.144956 matvec_seconds=0.224270
BIG_DIXON_STEP iteration=14/20000 solve_seconds=0.144989 matvec_seconds=0.229180
BIG_DIXON_STEP iteration=15/20000 solve_seconds=0.145125 matvec_seconds=0.254000
BIG_DIXON_STEP iteration=16/20000 solve_seconds=0.145230 matvec_seconds=0.263426
BIG_DIXON_STEP iteration=17/20000 solve_seconds=0.145286 matvec_seconds=0.228713
BIG_DIXON_STEP iteration=18/20000 solve_seconds=0.145336 matvec_seconds=0.239593
BIG_DIXON_STEP iteration=19/20000 solve_seconds=0.144380 matvec_seconds=0.254821
BIG_DIXON_STEP iteration=20/20000 solve_seconds=0.145989 matvec_seconds=0.255857
BIG_DIXON_STEP iteration=21/20000 solve_seconds=0.141824 matvec_seconds=0.229995
BIG_DIXON_STEP iteration=22/20000 solve_seconds=0.141748 matvec_seconds=0.214222
BIG_DIXON_STEP iteration=23/20000 solve_seconds=0.141907 matvec_seconds=0.238230
BIG_DIXON_STEP iteration=24/20000 solve_seconds=0.141470 matvec_seconds=0.220230
BIG_DIXON_STEP iteration=25/20000 solve_seconds=0.145357 matvec_seconds=0.224287
BIG_DIXON_STEP iteration=26/20000 solve_seconds=0.142001 matvec_seconds=0.214611
BIG_DIXON_STEP iteration=27/20000 solve_seconds=0.142528 matvec_seconds=0.205992
BIG_DIXON_STEP iteration=28/20000 solve_seconds=0.142565 matvec_seconds=0.217752
BIG_DIXON_STEP iteration=29/20000 solve_seconds=0.141380 matvec_seconds=0.229385
BIG_DIXON_STEP iteration=30/20000 solve_seconds=0.141973 matvec_seconds=0.256647
BIG_DIXON_STEP iteration=31/20000 solve_seconds=0.150559 matvec_seconds=0.232654
BIG_DIXON_STEP iteration=32/20000 solve_seconds=0.151288 matvec_seconds=0.220252
BIG_DIXON_STEP iteration=33/20000 solve_seconds=0.150140 matvec_seconds=0.196124
BIG_DIXON_STEP iteration=34/20000 solve_seconds=0.141500 matvec_seconds=0.256382
BIG_DIXON_STEP iteration=35/20000 solve_seconds=0.144086 matvec_seconds=0.224186
BIG_DIXON_STEP iteration=36/20000 solve_seconds=0.141125 matvec_seconds=0.239070
BIG_DIXON_STEP iteration=37/20000 solve_seconds=0.139722 matvec_seconds=0.264093
BIG_DIXON_STEP iteration=38/20000 solve_seconds=0.139924 matvec_seconds=0.253880
BIG_DIXON_STEP iteration=39/20000 solve_seconds=0.139608 matvec_seconds=0.203781
BIG_DIXON_STEP iteration=40/20000 solve_seconds=0.141928 matvec_seconds=0.204832
BIG_DIXON_STEP iteration=41/20000 solve_seconds=0.139216 matvec_seconds=0.203569
BIG_DIXON_STEP iteration=42/20000 solve_seconds=0.148413 matvec_seconds=0.199703
BIG_DIXON_STEP iteration=43/20000 solve_seconds=0.140194 matvec_seconds=0.212050
BIG_DIXON_STEP iteration=44/20000 solve_seconds=0.139581 matvec_seconds=0.202096
BIG_DIXON_STEP iteration=45/20000 solve_seconds=0.140692 matvec_seconds=0.206851
BIG_DIXON_STEP iteration=46/20000 solve_seconds=0.140951 matvec_seconds=0.226221
BIG_DIXON_STEP iteration=47/20000 solve_seconds=0.139583 matvec_seconds=0.205277
BIG_DIXON_STEP iteration=48/20000 solve_seconds=0.139733 matvec_seconds=0.202408
BIG_DIXON_STEP iteration=49/20000 solve_seconds=0.140504 matvec_seconds=0.310365
BIG_DIXON_STEP iteration=50/20000 solve_seconds=0.140344 matvec_seconds=0.235231
BIG_DIXON_RECONSTRUCTION iteration=50 modulus_bits=800 coordinates=18374/21222 exact_check_pass=false
BIG_DIXON_STEP iteration=51/20000 solve_seconds=0.140446 matvec_seconds=0.234891
BIG_DIXON_STEP iteration=52/20000 solve_seconds=0.140152 matvec_seconds=0.274139
BIG_DIXON_STEP iteration=53/20000 solve_seconds=0.146346 matvec_seconds=0.234666
BIG_DIXON_STEP iteration=54/20000 solve_seconds=0.143745 matvec_seconds=0.222072
BIG_DIXON_STEP iteration=55/20000 solve_seconds=0.143788 matvec_seconds=0.199411
BIG_DIXON_STEP iteration=56/20000 solve_seconds=0.144040 matvec_seconds=0.217618
BIG_DIXON_STEP iteration=57/20000 solve_seconds=0.143673 matvec_seconds=0.243381
BIG_DIXON_STEP iteration=58/20000 solve_seconds=0.143990 matvec_seconds=0.235210
BIG_DIXON_STEP iteration=59/20000 solve_seconds=0.142301 matvec_seconds=0.239698
BIG_DIXON_STEP iteration=60/20000 solve_seconds=0.143185 matvec_seconds=0.219614
BIG_DIXON_STEP iteration=61/20000 solve_seconds=0.143371 matvec_seconds=0.196644
BIG_DIXON_STEP iteration=62/20000 solve_seconds=0.151666 matvec_seconds=0.210076
BIG_DIXON_STEP iteration=63/20000 solve_seconds=0.143154 matvec_seconds=0.201163
BIG_DIXON_STEP iteration=64/20000 solve_seconds=0.142805 matvec_seconds=0.238802
BIG_DIXON_STEP iteration=65/20000 solve_seconds=0.143779 matvec_seconds=0.260550
BIG_DIXON_STEP iteration=66/20000 solve_seconds=0.142960 matvec_seconds=0.236538
BIG_DIXON_STEP iteration=67/20000 solve_seconds=0.148443 matvec_seconds=0.243170
BIG_DIXON_STEP iteration=68/20000 solve_seconds=0.143029 matvec_seconds=0.285461
BIG_DIXON_STEP iteration=69/20000 solve_seconds=0.142551 matvec_seconds=0.256269
BIG_DIXON_STEP iteration=70/20000 solve_seconds=0.142491 matvec_seconds=0.296959
BIG_DIXON_STEP iteration=71/20000 solve_seconds=0.142567 matvec_seconds=0.206055
BIG_DIXON_STEP iteration=72/20000 solve_seconds=0.142981 matvec_seconds=0.197296
BIG_DIXON_STEP iteration=73/20000 solve_seconds=0.142353 matvec_seconds=0.198669
BIG_DIXON_STEP iteration=74/20000 solve_seconds=0.145321 matvec_seconds=0.196674
BIG_DIXON_STEP iteration=75/20000 solve_seconds=0.142892 matvec_seconds=0.193799
BIG_DIXON_STEP iteration=76/20000 solve_seconds=0.142337 matvec_seconds=0.223778
BIG_DIXON_STEP iteration=77/20000 solve_seconds=0.142347 matvec_seconds=0.227964
BIG_DIXON_STEP iteration=78/20000 solve_seconds=0.142475 matvec_seconds=0.232281
BIG_DIXON_STEP iteration=79/20000 solve_seconds=0.142286 matvec_seconds=0.208485
BIG_DIXON_STEP iteration=80/20000 solve_seconds=0.141710 matvec_seconds=0.223070
BIG_DIXON_STEP iteration=81/20000 solve_seconds=0.141635 matvec_seconds=0.217053
BIG_DIXON_STEP iteration=82/20000 solve_seconds=0.142318 matvec_seconds=0.201618
BIG_DIXON_STEP iteration=83/20000 solve_seconds=0.143039 matvec_seconds=0.207576
BIG_DIXON_STEP iteration=84/20000 solve_seconds=0.142193 matvec_seconds=0.201395
BIG_DIXON_STEP iteration=85/20000 solve_seconds=0.147986 matvec_seconds=0.263821
BIG_DIXON_STEP iteration=86/20000 solve_seconds=0.142517 matvec_seconds=0.213929
BIG_DIXON_STEP iteration=87/20000 solve_seconds=0.142395 matvec_seconds=0.211291
BIG_DIXON_STEP iteration=88/20000 solve_seconds=0.142401 matvec_seconds=0.190864
BIG_DIXON_STEP iteration=89/20000 solve_seconds=0.142577 matvec_seconds=0.199590
BIG_DIXON_STEP iteration=90/20000 solve_seconds=0.142227 matvec_seconds=0.259377
BIG_DIXON_STEP iteration=91/20000 solve_seconds=0.141762 matvec_seconds=0.219929
