BIG_DIXON_LU_DONE seconds=324.667237 rows=21222 columns=21222
BIG_DIXON_MODULAR_SUPPORT nonzero_entries=15895/21222 prime=65521
BIG_DIXON_STEP iteration=1/20000 solve_seconds=0.674439 matvec_seconds=0.601113
BIG_DIXON_STEP iteration=2/20000 solve_seconds=0.139153 matvec_seconds=0.219275
BIG_DIXON_STEP iteration=3/20000 solve_seconds=0.138695 matvec_seconds=0.223925
BIG_DIXON_STEP iteration=4/20000 solve_seconds=0.139880 matvec_seconds=0.249178
BIG_DIXON_STEP iteration=5/20000 solve_seconds=0.138047 matvec_seconds=0.219532
BIG_DIXON_STEP iteration=6/20000 solve_seconds=0.138308 matvec_seconds=0.201470
BIG_DIXON_STEP iteration=7/20000 solve_seconds=0.139969 matvec_seconds=0.216005
BIG_DIXON_STEP iteration=8/20000 solve_seconds=0.139832 matvec_seconds=0.185406
BIG_DIXON_STEP iteration=9/20000 solve_seconds=0.147535 matvec_seconds=0.292588
BIG_DIXON_STEP iteration=10/20000 solve_seconds=0.141724 matvec_seconds=0.205942
BIG_DIXON_STEP iteration=11/20000 solve_seconds=0.140138 matvec_seconds=0.202490
BIG_DIXON_STEP iteration=12/20000 solve_seconds=0.141436 matvec_seconds=0.195533
BIG_DIXON_STEP iteration=13/20000 solve_seconds=0.137753 matvec_seconds=0.217182
BIG_DIXON_STEP iteration=14/20000 solve_seconds=0.138322 matvec_seconds=0.204417
BIG_DIXON_STEP iteration=15/20000 solve_seconds=0.141451 matvec_seconds=0.185391
BIG_DIXON_STEP iteration=16/20000 solve_seconds=0.142184 matvec_seconds=0.207390
BIG_DIXON_STEP iteration=17/20000 solve_seconds=0.142660 matvec_seconds=0.205595
BIG_DIXON_STEP iteration=18/20000 solve_seconds=0.147020 matvec_seconds=0.285708
BIG_DIXON_STEP iteration=19/20000 solve_seconds=0.138804 matvec_seconds=0.212950
BIG_DIXON_STEP iteration=20/20000 solve_seconds=0.143633 matvec_seconds=0.203601
BIG_DIXON_STEP iteration=21/20000 solve_seconds=0.141612 matvec_seconds=0.205178
BIG_DIXON_STEP iteration=22/20000 solve_seconds=0.140642 matvec_seconds=0.225651
BIG_DIXON_STEP iteration=23/20000 solve_seconds=0.137872 matvec_seconds=0.198455
BIG_DIXON_STEP iteration=24/20000 solve_seconds=0.141366 matvec_seconds=0.208282
BIG_DIXON_STEP iteration=25/20000 solve_seconds=0.141477 matvec_seconds=0.196835
BIG_DIXON_STEP iteration=26/20000 solve_seconds=0.141363 matvec_seconds=0.204984
BIG_DIXON_STEP iteration=27/20000 solve_seconds=0.138902 matvec_seconds=0.216152
BIG_DIXON_STEP iteration=28/20000 solve_seconds=0.141423 matvec_seconds=0.227497
BIG_DIXON_STEP iteration=29/20000 solve_seconds=0.138058 matvec_seconds=0.199115
BIG_DIXON_STEP iteration=30/20000 solve_seconds=0.137874 matvec_seconds=0.251622
BIG_DIXON_STEP iteration=31/20000 solve_seconds=0.140992 matvec_seconds=0.206331
BIG_DIXON_STEP iteration=32/20000 solve_seconds=0.141416 matvec_seconds=0.227931
BIG_DIXON_STEP iteration=33/20000 solve_seconds=0.139569 matvec_seconds=0.212589
BIG_DIXON_STEP iteration=34/20000 solve_seconds=0.144683 matvec_seconds=0.243427
BIG_DIXON_STEP iteration=35/20000 solve_seconds=0.141710 matvec_seconds=0.184953
BIG_DIXON_STEP iteration=36/20000 solve_seconds=0.138723 matvec_seconds=0.185591
BIG_DIXON_STEP iteration=37/20000 solve_seconds=0.140595 matvec_seconds=0.262109
BIG_DIXON_STEP iteration=38/20000 solve_seconds=0.139395 matvec_seconds=0.226518
BIG_DIXON_STEP iteration=39/20000 solve_seconds=0.139577 matvec_seconds=0.225682
BIG_DIXON_STEP iteration=40/20000 solve_seconds=0.140191 matvec_seconds=0.226464
BIG_DIXON_STEP iteration=41/20000 solve_seconds=0.139616 matvec_seconds=0.260828
