BIG_DIXON_LU_DONE seconds=315.863277 rows=21222 columns=21222
BIG_DIXON_MODULAR_SUPPORT nonzero_entries=15895/21222 prime=65521
BIG_DIXON_STEP iteration=1/40000 solve_seconds=0.708992 matvec_seconds=0.789565
BIG_DIXON_STEP iteration=2/40000 solve_seconds=0.168385 matvec_seconds=0.213468
BIG_DIXON_STEP iteration=3/40000 solve_seconds=0.138812 matvec_seconds=0.249501
BIG_DIXON_STEP iteration=4/40000 solve_seconds=0.138296 matvec_seconds=0.211685
BIG_DIXON_STEP iteration=5/40000 solve_seconds=0.138506 matvec_seconds=0.224021
BIG_DIXON_STEP iteration=6/40000 solve_seconds=0.142568 matvec_seconds=0.205492
BIG_DIXON_STEP iteration=7/40000 solve_seconds=0.140296 matvec_seconds=0.210625
BIG_DIXON_STEP iteration=8/40000 solve_seconds=0.140067 matvec_seconds=0.246901
BIG_DIXON_STEP iteration=9/40000 solve_seconds=0.147041 matvec_seconds=0.219366
BIG_DIXON_STEP iteration=10/40000 solve_seconds=0.140555 matvec_seconds=0.226335
BIG_DIXON_STEP iteration=11/40000 solve_seconds=0.144456 matvec_seconds=0.235143
BIG_DIXON_STEP iteration=12/40000 solve_seconds=0.150768 matvec_seconds=0.232410
BIG_DIXON_STEP iteration=13/40000 solve_seconds=0.140664 matvec_seconds=0.202016
BIG_DIXON_STEP iteration=14/40000 solve_seconds=0.140487 matvec_seconds=0.219483
BIG_DIXON_STEP iteration=15/40000 solve_seconds=0.149281 matvec_seconds=0.233726
BIG_DIXON_STEP iteration=16/40000 solve_seconds=0.139972 matvec_seconds=0.248403
BIG_DIXON_STEP iteration=17/40000 solve_seconds=0.140055 matvec_seconds=0.225934
BIG_DIXON_STEP iteration=18/40000 solve_seconds=0.144268 matvec_seconds=0.222629
BIG_DIXON_STEP iteration=19/40000 solve_seconds=0.142858 matvec_seconds=0.259471
BIG_DIXON_STEP iteration=20/40000 solve_seconds=0.149579 matvec_seconds=0.229780
BIG_DIXON_STEP iteration=21/40000 solve_seconds=0.141664 matvec_seconds=0.229325
BIG_DIXON_STEP iteration=22/40000 solve_seconds=0.139373 matvec_seconds=0.298368
BIG_DIXON_STEP iteration=23/40000 solve_seconds=0.145538 matvec_seconds=0.232277
BIG_DIXON_STEP iteration=24/40000 solve_seconds=0.138643 matvec_seconds=0.225659
BIG_DIXON_STEP iteration=25/40000 solve_seconds=0.138489 matvec_seconds=0.196263
BIG_DIXON_STEP iteration=26/40000 solve_seconds=0.138706 matvec_seconds=0.214449
BIG_DIXON_STEP iteration=27/40000 solve_seconds=0.149774 matvec_seconds=0.232787
BIG_DIXON_STEP iteration=28/40000 solve_seconds=0.140732 matvec_seconds=0.254663
BIG_DIXON_STEP iteration=29/40000 solve_seconds=0.140437 matvec_seconds=0.217461
BIG_DIXON_STEP iteration=30/40000 solve_seconds=0.141332 matvec_seconds=0.206770
BIG_DIXON_STEP iteration=31/40000 solve_seconds=0.140435 matvec_seconds=0.224475
BIG_DIXON_STEP iteration=32/40000 solve_seconds=0.147034 matvec_seconds=0.220095
BIG_DIXON_STEP iteration=33/40000 solve_seconds=0.140452 matvec_seconds=0.224978
