timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 21:31:21.079, 21191, 95830, 0,128696
2026/09/02 21:31:36.157, 38379, 95830, 0,6292032
2026/09/02 21:31:51.226, 38379, 95830, 0,3747920
2026/09/02 21:32:06.304, 38379, 95830, 0,2207736
2026/09/02 21:32:21.373, 38379, 95830, 0,4230928
2026/09/02 21:32:36.447, 38379, 95830, 0,2310812
2026/09/02 21:32:51.513, 38379, 95830, 0,5716480
2026/09/02 21:33:06.588, 38379, 95830, 0,2483996
2026/09/02 21:33:21.657, 38379, 95830, 0,5217920
2026/09/02 21:33:36.727, 38379, 95830, 20,2630472
2026/09/02 21:33:51.800, 42379, 95830, 0,4765864
2026/09/02 21:34:06.876, 42379, 95830, 0,2780100
2026/09/02 21:34:21.952, 42379, 95830, 0,5360808
2026/09/02 21:34:37.025, 42379, 95830, 0,3548628
2026/09/02 21:34:52.093, 42379, 95830, 0,7223640
2026/09/02 21:35:07.167, 42379, 95830, 0,2979136
2026/09/02 21:35:22.232, 42379, 95830, 0,5963412
2026/09/02 21:35:37.307, 42379, 95830, 0,3081020
2026/09/02 21:35:52.381, 42379, 95830, 0,3674728
2026/09/02 21:36:07.429, 42379, 95830, 37,5127724
2026/09/02 21:36:22.507, 42379, 95830, 0,3168616
2026/09/02 21:36:37.578, 42379, 95830, 0,3266052
2026/09/02 21:36:52.655, 42379, 95830, 0,3817824
2026/09/02 21:37:07.708, 42379, 95830, 0,3383996
2026/09/02 21:37:22.776, 42379, 95830, 0,6356040
2026/09/02 21:37:37.842, 42379, 95830, 0,5665676
2026/09/02 21:37:52.897, 42379, 95830, 0,3627168
2026/09/02 21:38:07.970, 42379, 95830, 14,3614952
2026/09/02 21:38:23.049, 42379, 95830, 0,5146388
2026/09/02 21:38:38.128, 42379, 95830, 0,3487852
2026/09/02 21:38:53.195, 42379, 95830, 0,6132552
2026/09/02 21:39:08.272, 42379, 95830, 0,3572520
2026/09/02 21:39:23.320, 42379, 95830, 0,6056352
2026/09/02 21:39:38.362, 42379, 95830, 0,4937152
2026/09/02 21:39:53.430, 42379, 95830, 0,4174540
2026/09/02 21:40:08.510, 42379, 95830, 0,3860772
2026/09/02 21:40:23.586, 42379, 95830, 67,4025124
2026/09/02 21:40:38.639, 42379, 95830, 0,6720632
2026/09/02 21:40:53.711, 42379, 95830, 0,5335756
2026/09/02 21:41:08.779, 42379, 95830, 0,3733308
2026/09/02 21:41:23.828, 42379, 95830, 0,7108952
2026/09/02 21:41:38.896, 42379, 95830, 0,3831756
2026/09/02 21:41:53.962, 42379, 95830, 0,4146080
2026/09/02 21:42:09.036, 42379, 95830, 0,4318412
2026/09/02 21:42:24.113, 42379, 95830, 56,4080804
2026/09/02 21:42:39.182, 42379, 95830, 0,3766284
2026/09/02 21:42:54.255, 42379, 95830, 0,3790804
2026/09/02 21:43:09.327, 42379, 95830, 0,4693716
2026/09/02 21:43:24.398, 42379, 95830, 0,7094640
2026/09/02 21:43:39.474, 42379, 95830, 0,4081720
2026/09/02 21:43:54.551, 42379, 95830, 0,7154160
2026/09/02 21:44:09.616, 42379, 95830, 0,6326472
2026/09/02 21:44:24.663, 42379, 95830, 33,4172272
2026/09/02 21:44:39.713, 42379, 95830, 0,4006112
2026/09/02 21:44:54.790, 42379, 95830, 0,5687944
2026/09/02 21:45:09.838, 42379, 95830, 0,4151288
2026/09/02 21:45:24.907, 42379, 95830, 0,5946200
2026/09/02 21:45:39.974, 42379, 95830, 0,8090392
2026/09/02 21:45:55.041, 42379, 95830, 0,4333192
2026/09/02 21:46:10.111, 42379, 95830, 0,7337400
2026/09/02 21:46:25.189, 42379, 95830, 0,4466292
2026/09/02 21:46:40.271, 42379, 95830, 15,4526196
2026/09/02 21:46:55.354, 42379, 95830, 86,6577888
2026/09/02 21:47:10.427, 42379, 95830, 0,5816724
2026/09/02 21:47:25.506, 42379, 95830, 0,4531960
2026/09/02 21:47:40.579, 42379, 95830, 0,5097948
2026/09/02 21:47:55.650, 42379, 95830, 0,7719196
2026/09/02 21:48:10.695, 42379, 95830, 0,6836936
2026/09/02 21:48:25.767, 42379, 95830, 0,6968120
2026/09/02 21:48:40.838, 42379, 95830, 0,7778540
2026/09/02 21:48:55.914, 42379, 95830, 0,5112204
2026/09/02 21:49:10.992, 42379, 95830, 0,8210732
2026/09/02 21:49:26.064, 42379, 95830, 0,4735176
2026/09/02 21:49:41.136, 42379, 95830, 0,7777252
2026/09/02 21:49:56.212, 42379, 95830, 0,4850104
2026/09/02 21:50:11.284, 42379, 95830, 0,7817256
2026/09/02 21:50:26.355, 42379, 95830, 0,5592916
2026/09/02 21:50:41.428, 42379, 95830, 0,5038432
