timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/03 00:56:48.275, 65306, 95830, 0,100348
2026/09/03 00:57:03.356, 82494, 95830, 0,8207928
2026/09/03 00:57:18.458, 82494, 95830, 0,4072008
2026/09/03 00:57:33.813, 82494, 95830, 0,13603744
2026/09/03 00:57:49.113, 82494, 95830, 0,10217272
2026/09/03 00:58:04.336, 82494, 95830, 0,4136248
2026/09/03 00:58:19.549, 82494, 95830, 0,4202560
2026/09/03 00:58:34.631, 82494, 95830, 0,10012404
2026/09/03 00:58:49.733, 82494, 95830, 0,12655080
2026/09/03 00:59:04.785, 82494, 95830, 0,12669416
2026/09/03 00:59:19.829, 82494, 95830, 0,4579012
2026/09/03 00:59:34.879, 82494, 95830, 0,4630056
2026/09/03 00:59:49.921, 82494, 95830, 0,11835960
2026/09/03 01:00:04.963, 82494, 95830, 0,15363236
2026/09/03 01:00:20.046, 86494, 95830, 19,5062956
2026/09/03 01:00:35.087, 86494, 95830, 7,5725084
2026/09/03 01:00:50.144, 86494, 95830, 0,10253868
2026/09/03 01:01:05.185, 86494, 95830, 0,13547796
2026/09/03 01:01:20.266, 86494, 95830, 8,5032392
2026/09/03 01:01:35.315, 86494, 95830, 20,5084440
2026/09/03 01:01:50.360, 86494, 95830, 0,5170348
2026/09/03 01:02:05.438, 86494, 95830, 0,10384960
2026/09/03 01:02:20.539, 86494, 95830, 0,14149828
2026/09/03 01:02:35.622, 86494, 95830, 0,5309424
2026/09/03 01:02:50.667, 86494, 95830, 0,5394620
2026/09/03 01:03:05.759, 86494, 95830, 0,5410432
2026/09/03 01:03:20.839, 86494, 95830, 0,11986340
2026/09/03 01:03:35.918, 86494, 95830, 0,5412564
2026/09/03 01:03:50.965, 86494, 95830, 0,5944652
2026/09/03 01:04:06.014, 86494, 95830, 0,13383784
2026/09/03 01:04:21.086, 86494, 95830, 7,12141356
2026/09/03 01:04:36.137, 75570, 95830, 0,15115436
2026/09/03 01:04:51.210, 75570, 95830, 0,5703232
2026/09/03 01:05:06.255, 75570, 95830, 37,5747600
2026/09/03 01:05:21.335, 75570, 95830, 0,7558316
2026/09/03 01:05:36.405, 75570, 95830, 0,5762404
2026/09/03 01:05:51.459, 75570, 95830, 9,5888856
2026/09/03 01:06:06.539, 75570, 95830, 0,9242760
2026/09/03 01:06:21.623, 75570, 95830, 0,10215504
2026/09/03 01:06:36.737, 75570, 95830, 0,13265660
2026/09/03 01:06:51.815, 75570, 95830, 0,15765512
2026/09/03 01:07:06.929, 75570, 95830, 0,16558524
2026/09/03 01:07:22.013, 75570, 95830, 0,14032780
2026/09/03 01:07:37.062, 75570, 95830, 0,6473056
