timestamp_utc,gpu_used_mib,gpu_total_mib,gpu_util_percent,process_rss_kib
2026/09/02 22:02:03.888, 0, 95830, 0,137064
2026/09/02 22:02:18.966, 17191, 95830, 0,3850976
2026/09/02 22:02:34.039, 17191, 95830, 0,11872060
2026/09/02 22:02:49.115, 17191, 95830, 0,11399300
2026/09/02 22:03:04.199, 17191, 95830, 0,9557252
2026/09/02 22:03:19.275, 17191, 95830, 0,4559416
2026/09/02 22:03:34.346, 17191, 95830, 0,4566660
2026/09/02 22:03:49.420, 17191, 95830, 0,4684092
2026/09/02 22:04:04.497, 21191, 95830, 12,4876372
2026/09/02 22:04:19.583, 21191, 95830, 0,6064380
2026/09/02 22:04:34.678, 21191, 95830, 0,4894040
2026/09/02 22:04:49.771, 21191, 95830, 0,4971864
2026/09/02 22:05:04.852, 21191, 95830, 0,5060096
2026/09/02 22:05:19.933, 21191, 95830, 0,5101584
2026/09/02 22:05:35.006, 21191, 95830, 0,9915768
2026/09/02 22:05:50.078, 21191, 95830, 0,13666488
2026/09/02 22:06:05.164, 21191, 95830, 0,8980764
2026/09/02 22:06:20.254, 21191, 95830, 0,10052288
2026/09/02 22:06:35.330, 21191, 95830, 0,12705632
2026/09/02 22:06:50.410, 21191, 95830, 0,11489652
2026/09/02 22:07:05.488, 21191, 95830, 0,5572916
2026/09/02 22:07:20.565, 21191, 95830, 0,5638644
2026/09/02 22:07:35.644, 21191, 95830, 0,5669756
2026/09/02 22:07:50.716, 21191, 95830, 0,13926908
2026/09/02 22:08:05.803, 21191, 95830, 0,10077116
2026/09/02 22:08:20.881, 21191, 95830, 0,11166468
2026/09/02 22:08:35.952, 21191, 95830, 0,12028736
2026/09/02 22:08:51.038, 21191, 95830, 0,6541536
2026/09/02 22:09:06.119, 21191, 95830, 0,5824412
2026/09/02 22:09:21.196, 21191, 95830, 0,5956356
2026/09/02 22:09:36.264, 21191, 95830, 0,10038344
2026/09/02 22:09:51.333, 21191, 95830, 0,12935700
2026/09/02 22:10:06.413, 21191, 95830, 0,6162216
2026/09/02 22:10:21.498, 21191, 95830, 0,6005776
2026/09/02 22:10:36.581, 21191, 95830, 0,5910280
2026/09/02 22:10:51.653, 21191, 95830, 0,14578928
2026/09/02 22:11:06.721, 21191, 95830, 0,12355524
2026/09/02 22:11:21.811, 21191, 95830, 0,6398956
2026/09/02 22:11:36.892, 21191, 95830, 0,6284552
2026/09/02 22:11:51.977, 21191, 95830, 0,9205444
2026/09/02 22:12:07.053, 21191, 95830, 0,11264912
2026/09/02 22:12:22.136, 21191, 95830, 0,6023992
2026/09/02 22:12:37.217, 21191, 95830, 0,6157328
2026/09/02 22:12:52.284, 21191, 95830, 0,14033000
2026/09/02 22:13:07.366, 21191, 95830, 0,11959296
2026/09/02 22:13:22.440, 21191, 95830, 0,6374244
2026/09/02 22:13:37.516, 21191, 95830, 0,6453312
2026/09/02 22:13:52.587, 21191, 95830, 0,9278684
2026/09/02 22:14:07.669, 21191, 95830, 0,6334292
2026/09/02 22:14:22.751, 21191, 95830, 0,11724900
2026/09/02 22:14:37.833, 21191, 95830, 0,12544184
2026/09/02 22:14:52.922, 21191, 95830, 0,6830968
2026/09/02 22:15:08.005, 21191, 95830, 0,6544768
2026/09/02 22:15:23.084, 21191, 95830, 0,6687012
2026/09/02 22:15:38.164, 21191, 95830, 0,6707268
2026/09/02 22:15:53.238, 21191, 95830, 91,7369244
2026/09/02 22:16:08.292, 21191, 95830, 0,6657284
2026/09/02 22:16:23.369, 21191, 95830, 0,10778876
2026/09/02 22:16:38.448, 21191, 95830, 0,6804516
2026/09/02 22:16:53.528, 21191, 95830, 0,6962844
2026/09/02 22:17:08.604, 21191, 95830, 0,14417548
2026/09/02 22:17:23.688, 21191, 95830, 0,9521936
2026/09/02 22:17:38.770, 21191, 95830, 29,7174824
2026/09/02 22:17:53.858, 21191, 95830, 0,8006996
2026/09/02 22:18:08.941, 21191, 95830, 0,8068092
2026/09/02 22:18:24.030, 21191, 95830, 0,7054184
2026/09/02 22:18:39.124, 21191, 95830, 0,7448968
2026/09/02 22:18:54.205, 21191, 95830, 0,7153384
2026/09/02 22:19:09.285, 21191, 95830, 0,7254500
